family,count
Opisthoproctidae,15
Opistognathidae,61
Oplegnathidae,7
Orectolobidae,11
Oreosomatidae,10
Osmeridae,16
Osphronemidae,118
Osteoglossidae,8
Ostraciidae,25
Ostracoberycidae,3
Oxynotidae,5
Pangasiidae,30
Pantodontidae,1
Parabembridae,2
Parabrotulidae,3
Paralepididae,59
Paralichthyidae,116
Parascorpididae,1
Parascylliidae,8
Paraulopidae,10
Parazenidae,4
Parodontidae,28
Pataecidae,3
Pegasidae,5
Pempheridae,26
Pentacerotidae,14
Percichthyidae,36
Percidae,214
Perciliidae,2
Percophidae,47
Percopsidae,2
Peristediidae,44
Petromyzontidae,42
Phallostethidae,21
Pholidae,15
Pholidichthyidae,2
Phosichthyidae,24
Phractolaemidae,1
Phycidae,11
Pimelodidae,109
Pinguipedidae,72
Platycephalidae,69
Platytroctidae,39
Plecoglossidae,3
Plectrogenidae,2
Plesiobatidae,1
Plesiopidae,50
Pleuronectidae,101
Plotosidae,40
Poeciliidae,344
Polycentridae,2
Polymixiidae,10
Polynemidae,42
Polyodontidae,2
Polyprionidae,6
Polypteridae,18
Pomacanthidae,88
Pomacentridae,376
Pomatomidae,1
Potamotrygonidae,20
Priacanthidae,18
Pristidae,7
Pristigasteridae,24
Pristiophoridae,6
Prochilodontidae,21
Profundulidae,6
Proscylliidae,7
Protopteridae,7
Psettodidae,3
Pseudaphritidae,3
Pseudocarchariidae,1
Pseudochromidae,131
Pseudomugilidae,18
Pseudopimelodidae,33
Pseudotriakidae,2
Pseudotrichonotidae,2
Psilorhynchidae,11
Psychrolutidae,42
Ptereleotridae,48
Ptilichthyidae,1
Rachycentridae,1
Radiicephalidae,1
Rajidae,269
Regalecidae,4
Retropinnidae,6
Rhamphichthyidae,15
Rhamphocottidae,1
Rhincodontidae,1
Rhinobatidae,59
Rhinochimaeridae,8
Rhyacichthyidae,3
Rivulidae,336
Rondeletiidae,2
Saccopharyngidae,11
Salangidae,20
Salmonidae,206
Samaridae,21
Scaridae,96
Scatophagidae,4
Schilbeidae,64
Schindleriidae,3
Sciaenidae,282
Scoloplacidae,5
Scomberesocidae,5
Scombridae,54
Scombrolabracidae,1
Scombropidae,3
Scopelarchidae,18
Scophthalmidae,9
Scorpaenidae,207
Scyliorhinidae,146
Scytalinidae,1
Sebastidae,137
Serranidae,508
Serrivomeridae,11
Setarchidae,6
Siganidae,28
Sillaginidae,31
Siluridae,102
Sisoridae,166
Soleidae,163
Solenostomidae,5
Somniosidae,17
Sparidae,127
Sphyraenidae,26
Sphyrnidae,9
Squalidae,28
Squatinidae,22
Stegostomatidae,1
Stephanoberycidae,4
Sternoptychidae,72
Sternopygidae,30
Stichaeidae,79
Stomiidae,281
Stromateidae,17
Stylephoridae,1
Sundasalangidae,7
Symphysanodontidae,10
Synanceiidae,36
Synaphobranchidae,38
Synbranchidae,20
Syngnathidae,282
Synodontidae,67
Telmatherinidae,17
Terapontidae,52
Tetrabrachiidae,1
Tetragonuridae,3
Tetraodontidae,187
Tetrarogidae,43
Thaumatichthyidae,8
Torpedinidae,23
Toxotidae,7
Trachichthyidae,45
Trachinidae,9
Trachipteridae,10
Triacanthidae,7
Triacanthodidae,23
Triakidae,44
Trichiuridae,44
Trichodontidae,2
Trichomycteridae,230
Trichonotidae,8
Triglidae,114
Triodontidae,1
Tripterygiidae,163
Umbridae,7
Uranoscopidae,52
Urolophidae,47
Valenciidae,2
Veliferidae,2
Xenisthmidae,13
Xiphiidae,1
Zanclidae,1
Zaproridae,1
Zeidae,6
Zenionidae,7
Zoarcidae,279
